lot_sale_year,auction_house,title,artist_name,object_type,pounds
1836,Foster (Edward),A Musical Party,Jan Stein,Painting,6
1849,Christie's,"A grand landscape, with a river, with a cavalier and gypsies in the foreground.",Van Uden,Painting,18
1839,Christie's,Hero and Leander; an interesting and capitally coloured work,"Pickersgill, R.A",Painting,5
1839,Christie's,"A frigate, off the back of the Isle of Wight, with vessels in the distance, a gentle ripple on the water, which is beautifully transparent",Chambers,Painting,19
1839,Christie's,"Sabrina, with nymphs; a very elegant composition, richly coloured","Howard, R.A.",Painting,66
1839,Christie's,"The Caravan Overwhelmed    Breathed hot    From all the boundless furnace of the sky,    And the wide glittering waste of burning sand, A suffocating wind the pilgrim smites    With instant death.","Smirke, R.A.",Painting,9
1839,Christie's,"Portrait of Mrs. Clough; an interesting specimen, painted in 1805","Sir D. Wilkie, R.A.",Painting,7
1839,Christie's,"Celadon and Amelias    From his void embrace,    Mysterious heaven!  that moment to the ground    A blackened corse, was struck the beauteous maid.","Smirke, R.A.",Painting,9
1839,Christie's,"The battle of Zuphten; a group of spirited figures engaged in this battle, so interesting as the death-scene of Philip Sidney","Cooper, R.A.",Painting,12
1840,Christie's,"A landscape, with cattle and figures",Loutherbourg,Painting,21
1840,Christie's,A skittle-ground; a clear and capital picture of this Master,C. Bega,Painting,106
1840,Christie's,A halt of travellers in a landscape; highly finished and in perfect preservation,Wouvermans,Painting,77
1840,Christie's,A family party; a fine specimen of this scarce Master,Le Nain,Painting,21
1840,Christie's,The inside of a church with figures,De Witte,Painting,28
1840,Christie's,Christ mocked,Teniers,Painting,30
1840,Christie's,An Italian fair,Ferg,Painting,13
1840,Christie's,"A sea-shore, a calm, with boats and figures; a clear and highly-finsished gem, in the most perfect state",Vandevelde,Painting,138
1837,Christie's,Achilles among the daughters of Lycomedes,N. Poussin,Painting,19
1837,Christie's,Eudamidas and Stratonice; very richly coloured,Tiepolo,Painting,24
1837,Christie's,The jealous cobbler,Hogarth,Painting,10
1836,Christie's,"A brown horse standing near a river, in a landscape, with a group of cows in the half distance, and hilly background; painted with capital effect of sunshine; from the collection of Mr. West, of Norwich",Cuyp,Painting,28
1838,Christie's,"An interior, with peasants at their repast, and a group of utensils; capitally painted",P. Bloot,Painting,53
1838,Christie's,"An upright rocky landscape, with figures near a pool of water, from which a dog is bringing a duck; a very richly-coloured specimen",S. Rosa,Painting,67
1838,Christie's,"An interior, with an old woman with a bottle and glass; a beautiful bit of colour of the very highest quality",A. Ostade,Painting,42
1838,Christie's,"Portrait of a falconer in a furred dress; painted with great force and character.  From the collection of W. Smith, Esq. M.P.",Rubens,Painting,38
1838,Christie's,"The Assumption of the Virgin, the beautiful figure of the Virgin, whose hands are crossed upon her breast, is surrounded by a multitude of infant angels, displaying every beautiful variety of attitude for which this great master is so justly esteemed; a capital chef-d'oeuvre",Murillo,Painting,693
1838,Christie's,Portrait of a lady; very elegant,Sir T. Lawrence,Painting,27
1838,Christie's,"The Virgin leaning affectionately over and embracing the Infant, who is sleeping in her arms, the heads full of beautiful character; a charming specimen beautiful & late",Sasso Ferrato,Painting,88
1838,Christie's,"Head of a young girl, she is looking towards the spectator over her left shoulder; replete with simple and natural character",Greuze,Painting,34
1839,Christie's,"Classical ruins, with a philosopher addressing some soldiers and females ; the figures very elegant",Pannini,Painting,14
1850,Phillips (Harry),"Monkeys playing at Cards.    Smith's Catalogue, page 455 [sic].",D. Teniers,Painting,19
1850,Phillips (Harry),"A Pilgrim asking Charity; the view represents a pass between lofty hills, surmounted by a castle, and clothed in part with bushy trees.      From the Collection of J. Newingon Hughes, Esq.",Philip Wouvermans,Painting,60
1850,Phillips (Harry),St. John; a pasticcio.,D. Teniers,Painting,13
1850,Phillips (Harry),A classical Landscape with figures.,G. Poussin,Painting,23
1840,Stanley (George),"Venus, after, and the Dream, after Haughton, framed and glazed",Haughton,Painting,6
1840,Stanley (George),"Tam o'Shanter, and the Cotter's Saturday Night, ditto [framed] ditto [and glazed]",J. Burnet,Painting,5
1840,Stanley (George),Reading the Gazette; Cabinet specimen,"Ostade, A.V.",Painting,37
1836,Christie's,"Head of a beggar, with a wooden tankard; a spirited study from nature",Teniers,Painting,13
1836,Christie's,A group of flowers; from Lord Hampden's collection,Van Huysum,Painting,17
1836,Christie's,"A view of the Campanili, taken from the extremity of the Piazza; the area is occupied with booths, and groups of spirited figures are introduced.  This pure and genuine specimen was painted by Canaletti, for the late Dr. Hinchliffe, Bishop of Peterborough",Canaletti,Painting,53
1836,Christie's,"Two Dutch Men-of-war with vessels and fishing-boats working off a lee-shore in a gale of wind; a storm gathering to windward; a composition full of spirit, and very powerfully painted",Backhuyzen,Painting,157
1836,Christie's,"Salvator Mundi; painted in beautifully grand and simple character.  This picture is said to have been in the King of France's collection before the revolution; it is engraved by Hollar [The following five Pictures, the Property of the late John Parke, Esq., are to be sold by order of the Executors of his Son]",L. Da Vinci,Painting,100
1836,Christie's,"A grand romantic landscape, with travellers and mules about to cross a wooden bridge, under which a torrent is making its way, with sunny background",Both,Painting,42
1836,Christie's,The Magdalen in the desert,Guido,Painting,26
1836,Christie's,"A view of a palace on the Grand Canal at Venice, with gondolas and figures; painted in a beautifully transparent tone",Canaletti,Painting,43
1836,Foster (Edward),"Grand Allegorical picture -- to the right Flora and Infants; to the left a Female representing Plenty, Full of harmony, highly finished, and painted in his finest time, after studying the Italian School",Goevert Flink,Painting,14
1836,Foster (Edward),"Pastoral, The agreeable Rendezvous, a graceful and pleasing composition, brilliant in colour; the white satin finished with great taste and skill.  This chef d'oeuvre is ing the highest state of preservation",Lancret,Painting,16
1836,Foster (Edward),"A very fine half length portrait of Doctor Moore, Archbishop of Canterbury",Sir T. Lawrence,Painting,18
1836,Foster (Edward),"Landscape and Figures, with Architectural Buildings -- the foliage of the trees painted in a fine style -- the perspective is good, and quite equal to Claude.  This is a fine picture of the master",Patel,Painting,26
1839,Christie's,"Descent from the Cross; a work of the highest class of this master; small.    On the back of the panel the Arms of England are carefully painted, and the letters A. M. in the four corners",John Hemlinck,Painting,14
1839,Christie's,"Christ is exposed to the Multitude before a rich Gothic building, the varied expression of the countenances is finely rendered, and the figure of Christ full of dignity: the flagellation and crowning with thorns are represented in the background; the preservation of this fine picture is perfect",Martin Schoen,Painting,16
1839,Christie's,"The Landscape and Architecture by John Van Eyck.    A Holy Family attended by Angels, with two wings representing St. John the Baptist and St. John the Evangelist.    This is one of the exceedingly scarce pictures of the sister of Van Eyck who, in order to devote her whole life to the arts, resolved (according to Carel Van Mander) to remain unmarried, and to whom John Van Eyck communicated his new method of painting.  The composition and execution of this picture are particularly happy, and full of poetry.  The grouping is full of grace, though the faces are by no means of ideal beauty. On the left wing, St. John the Evangelist, kneeling, blesses the chalice of the New Sacrament; on the right wing, St. John the Baptist, also kneeling, the Lamb by his side, ...prints[?] to the Child, seated at the feet of the Mother on the pillow.  From the windows of a Church in the background emanates, between the deep shades of the trees, a miraculous light",Margaretha Van Eyck,Painting,42
1839,Christie's,"The Virgin, Child, and St. John, seated before some architecture, attended by two Angles, playing.  A very beautiful specimen of this master; the Angels are quite equal to Raffaelle in his first manner.",Pietro Perugino,Painting,31
1839,Christie's,"The Virgin and Child, in a Landscape, with St. Joseph gathering dates; a beautiful small specimen of the master: the attitude of the Virgin is full of dignity; the whole is very highly finished, and has a beautiful effect.",John Hemlinck,Painting,43
1839,Christie's,"The Annunciation; after the miraculous picture of Bartolomeo in the Church of Sta. Maria della Annunicata, in Florence",Carlo Dolce,Painting,13
1803,Squibb (George),"A Magdalen, truly expressive of Sorrow and Devotion  A bold, spirited, and much-admired original painting -- is of itself a perfect model",Titian,Painting,150
1803,Squibb (George),"The Sheep Sheering, (style of Bassan)  A beautiful painting, colouring rich, figures expressive, and judiciously grouped -- landscape in the Italian style  [Both from the collection of Prince Charles of Lorraine]",Teniers,Painting,30
1803,Squibb (George),"A Chymist's Laboratory, Figures, &c.  Every minutiae of the interior perfectly deliniated, the artist himself in an easy chair -- an undoubted original of an old and truly scarce master -- name in the picture -- from a noble cabinet in France",D. Smitz,Painting,70
1848,Christie's,"The gallery at Venice, wih the pictures beautifully represented.",S. Davis,Painting,29
1848,Christie's,"Interior of a church, of rich Italian architecture, with many figures.",S. Davis,Painting,18
1836,Foster (Edward),The Finding of Moses,F. Mola,Painting,3
1801,Christie's,Sibylla Persecsi,Guerchino,Painting,63
1801,Christie's,Its Companion,Sal. Rosa,Painting,99
1801,Christie's,A View of St. Mark's Place at Venice,Canaletti,Painting,18
1801,Christie's,Venus reclining,Titian,Painting,35
1801,Christie's,"A Landscape and Figures, a grand scene",Sal. Rosa,Painting,99
1801,Christie's,"An upright Landscape and Figures, equal to Gaspar",Horisonti,Painting,13
1801,Christie's,"Madona and Infant Christ in the Clouds, a Capital Picture",Guerchino,Painting,199
1801,Christie's,"A View in Italy with Figures, a high finished picture",Wright of Derby,Painting,37
1837,Phillips (Harry),"The Magdalen.  This splendid study, after Titian's chef-d'oeuvre, was painted at Venice",Rubens,Painting,14
1837,Phillips (Harry),Dead Game; a unique specimen of this great painter,Rembrandt,Painting,25
1837,Phillips (Harry),"Cottages with Figures, a woman selling vegetables.  This exquisite picture is of the highest quality",Isaac Ostade,Painting,241
1837,Phillips (Harry),"A richly coloured woody Landscape, with a view of the Village Church",Rembrandt,Painting,14
1837,Phillips (Harry),"A grand Landscape, with a Waterfall; a capital picture",Ruysdael,Painting,163
1837,Phillips (Harry),"The Interior of an Apartment, with a female reading; the effect of sun-shine truly magical",Peter de Hooge,Painting,48
1837,Phillips (Harry),Cattle and Figures in a Landscape; truly a cabinet gem,Paul Potter,Painting,23
1837,Phillips (Harry),"A Lady playing on the Guitar, said to be the portrait of his daughter; very fine",Carlo Dolce,Painting,17
1837,Phillips (Harry),"A Merry-making; a rich composition, etched by the master -- truly capital",Adrian Ostade,Painting,168
1805,Christie's,An Interior,D. Maes,Painting,12
1805,Christie's,"The Sacred Wood near Athens, an elegant Landscape, with View of a Sepulchral Monument and Pastoral Figures -- a warm Scene, painted with charming Effect",Wallis,Painting,14
1805,Christie's,Landscape with Historical Figures,Poussin,Painting,11
1805,Christie's,The Flight into Egypt,Lanfranco,Painting,11
1805,Christie's,"Christ in the Garden, a perfect Picture of the Masters",Brughel,Painting,15
1805,Christie's,The Subject of Lazarus,Bassan,Painting,6
1838,Christie's,"The Adoration of the Kings.  The Portraits of the two brothers, Hubert and Jean, are seen through the opening of a window-casement; Jean is affectionately indicating by his action that it is to his brother Hubert that he is indebted for instruction in his art, and for the fame he has thereby acquired.  Philip the Good, Duke of Burgundy, is represented as the principal of the Magi.  He is decorated with the order of the Golden Fleece, of which he was the founder.  He has, however, a prouder claim to celebrity in being also the illustrious patron of these distinguished artists, who in return conferred a lustre on his name, and on Bruges, the capital in which the Dukes of Burgundy then held their court.  It is probable also that all of the principal figures in the picture are portraits, as it is finished with a care and precision which denote that it was painted on no ordinary occasion.  The painting is pure and uninjured, and its colouring mellowed and improved in the course of revolving ages.  To Hubert and Jean Van Eycke has been ascribed the invention of painting in oil.  All who behold this painting must at all events allow them the merit of having brought the colours they themselves used or invented to a degree of perfection that has never been surpassed; and indeed we should be puzzled to point out in any painting, of any school or age, tints of more vivid colouring than those that dazzle our eyes in this picture, and which to its other high qualities, adds that of its having outstripped its age in grace and refinement, and of being painted with greater elegance and skill in the disposition of its figures and draperies, and a better knowledge of perspective, than is seen in the works of any other artist of any school, during the long interval that elapsed from the period (at which we may reasonably suppose it to have been painted) down to the first dawn of the Augustan era in painting, when the science was again happily revived by the powerful and nearly contemporaneous efforts (in their several schools) of Leonardo da Vinci, Raphael, and Correggio","Hubert Van Eycke.  Born at Maaseyk, on the Meuse, in 1366",Painting,110
1838,Christie's,"The Triumph of Bacchus and Silenus, with a procession of Nymphs, Satyrs, and Bacchanalian attendants, in a glowing Italian landscape rich in poetic feeling, characterising the mode of painting of this most classical artist.  It has much of the freedom of touch and sparkling effect that distinguish a much admired picture by Annibale Carracci formerly in the Orleans Collection",Annibale Carracci,Painting,33
1838,Christie's,"Santo Jacomo di Compostella trampling under his horse's feet the vanquished Moors; the scene is laid in the wildest regions of Gallicia, where mountains piled upon mountains (Ossa upon Pelion) give to it a most imposing effect.  The Warrior-Saint, sword in hand, animated by a divine ardour, displays a countenance of the most heroic intrepidity.  He is mounted on a splendid white charger, whose nostrils breathe fire, and which (with the exception of wings) appears to possess every attribute of the fabulous Pegasus. The poor discomfited Moors are in the most abject state of dejection and despair.  This fine painting records the glories of Spain in former days; and it also furnishes a proof (if any were wanting) of Zurbaran's great merits as an artist, and also of his enthusiastic patriotism",Francisco Zurbaran.  A Spanish Painter. Born in 1596,Painting,45
1838,Christie's,"Nearly the same view [The Grand Canal at Venice], of smaller size.  The scene is less stirring, it not being on a day of festivals, but it is painted with great care, correctness, and truth, and it is also a valuable specimen of this able artist, whose works are unrivalled as the skilful delineator of his own floating city",Antonio Canaletti,Painting,62
1838,Christie's,"Le Depart pour la Chasse.  This is a most charming, sparkling, and highly-finished painting, abounding with subjects; the more prominent of which are a cavalier and his lady richly attired, and the latter about to mount a beautiful Wouverman-like little white horse, apparently well trained and of the greatest docility.  A beggar-woman with children is earnestly relating her tales of woe to a sprightly young page, who appears to be compassionately listening to them and is at the same time holding the bridle of the lady's horse.  This is a masterly production, and has much of the spirit and pencilling of Philip Wouvermans",John Lingelbach,Painting,77
1838,Christie's,"Vertumnus and Pomona; a well-known painting.  The story is inimitably well told. -- See Ovid's Metamorphoses, &c.  It is one of his very fine works",Nicholas Maes,Painting,55
1838,Christie's,"A Group of ten figures, forming a family concert, being the portraits of three generations of the Ponte and Bassano family -- old Francesco, Giacomo, and Francesco the younger, with their wives, &c.  Leandro, who is well known (as he often painted his own portrait), is standing near his wife (who is playing on a Cembalo, or Harpsichord), and is intently overlooking a musical book held by his father, Giacomo, over the head of the old lady.  The subject is a very interesting one; it gives us the portraits of these excellent painters, and is a proof of the harmony that prevailed in their family","Bessano, (Leandro da Ponte)",Painting,64
1838,Christie's,"A Woman making Lace; painted with unusual force, and one of the finest specimens of this master",Nicholas Maes,Painting,100
1838,Christie's,"Cupid stung by Bees making his lament to Venus.  The subject is taken from one of the Odes of Anacreon; the Latin inscription on the picture is Pungit apis peurum veneris dum roscida mella furatur sic sunt dulcia mixta malis.  The naked figure of Venus, with hat and feathers, and a rich golden necklace, is most correctly and elegantly designed, as is also her action of irony and derision admirably expressed.  The artist has introduced the head of his favourite stag with its widely ramified antlers, (which he so often repeated,) its hinder parts being concealed in the adjoining thicket, and he has also added the coat of arms of the patron, for whom he painted the picture. It is in very fine preservation and a valuable specimen of the master",Lucas Cranach.  Born in 1472,Painting,27
1838,Christie's,"The Artist, in an Interior, with his Family, delivering instructions in the Sciences to his eldest son.  It is a clear bright painting; the different objects in the interior, or library, are designed with the utmost precision, and all its parts are touched with a bold and masterly pencil.  It was in Lord Gwydir's Collection, sold at Messrs. Christie's in 1829","Emanuel de Witte, or Wit",Painting,26
1838,Christie's,"A highly adorned and splendid piece of Architecture, being the Interior of a Church, in which the perspective appears to be very true",Van Bassan,Painting,21
1838,Christie's,"A bright sunny Landscape, of glowing effect, probably drawn from Nature; the more prominent object in the composition, is a bridge of bold and ancient structure, over which is a road apparently leading to some town or village",Adam Pynacker,Painting,20
1838,Christie's,"The Virgin and Infant Saviour, attended by Angels.  A divine light shades on the Infant Jesus, which spreads its radiance on the surrounding figures.  It is painted with much softness, elegance, and taste; on copper",Camillo Procaccini,Painting,6
1838,Christie's,"The Sylvan Nymphs.  It is a sort of pasticcio, by this talented artist, who in it has combined the excellences of three great schools: the rich deep harmonious tints of Titian, the poetical graces and classical refinement of Niccolo Poussin being, in this excellent painting, united with the glowing colours of his own great master and prototype, Rubens.  The easel pictures of Gaspar de Crayer are of great rarity: this is a very fine one, and was formerly a very attractive picture in the Le Brun Gallery, where its engraving does not do it justice",Gaspar de Crayer,Painting,84
1838,Christie's,"Christ calling St. Peter.  Painted on copper.  And Jesus, walking by the sea of Galilee, saw two brethren, Simon called Peter, and Andrew his brother, casting a net into the sea: for they were fishers.  And he saith unto them, Follow me, and I will make you fishers of men. -- St. Matthew. Christ's figure is very grand and imposing, the two Apostles express a reverential awe for their Divine Master.  The two other brethren, John and James, with their father, Zebedee, are seen in a boat in the distance.  It is a rich and well-painted picture",Francesco Albano,Painting,32
1838,Christie's,"Mary Magdalen in the midst of the Pleasures of the World, or Mary Magdalen's Dance (as the print from this picture is called).  It would be endless to minutely describe the many groups of figures of which this painting is composed, in the midst of which is a cavalier richly dressed in the costume of the day, leading a portly female into scenes of mirth and jollity, that are meant to represent The Pleasures of the World.  There is an etching of this rare picture by the artist himself, which, when it is to be met with, sells for a very high price.  There does not appear to be any date on this picture; but the date, on a stone, of 1531, together with the large L (the monogram of the artist), is nearly in the centre of the etching, and may lead us to suppose that the picture was painted somewhere about that time.  Large church paintings of this esteemed old master are, it is said, occasionally to be met with in Holland and in Germany; but we believe that an easel picture of this size (and of a subject that is the rarest of all Leucas Van Leyden's prints), in unique. Leucas Van Leyden was the contemporary of Albert Durer, in Germany, and of Marc Antonio Raimondi, (the friend of Raphael, and engraver of his works) in Italy, and they formed a triumvirate of the three most eminent engravers of the day, whose works have scarcely ever been surpassed by any modern artists, and are still justly held in very high estimation",Leucas de Leyden.  Born 1494,Painting,35
1838,Christie's,"Queen Mary when a Child.  This is an extraordinary portrait, delineating the features that adhered to that graceless Queen to the last years of her life: it is, however, a faultless work of art, finished like a miniature, the delicacy of execution of which can be fully appreciated only by a magnifying-glass",Hans Holbein,Painting,32
1838,Christie's,"The Story of Narcissus; a smaller picture.  It is of a smaller size than the preceding picture, but its colouring is of the most dazzling description.  Mola, in his more highly finished works nearly approaches the admired landscape-painters of the Bolognese School, to whose manner he super-added the rich and glowing tints he had acquired by an assiduous study, and imitation of the great works of Tizian.  Mola was by birth a Milanese, but he imitated in their turn the works of the most celebrated masters of almost every Italian School of Painting",Pietro Francesco Mola,Painting,17
1838,Christie's,"A Calm; also a most excellent painting by this admired artist, exhibited in the British Institution in 1837",William Van de Velde,Painting,74
1838,Christie's,"A Portrait of a young Nobleman.  A beautiful portrait of a Florentine youth richly attired, elaborately finished.  The soft, sweet, mellow tone of colouring, and knowledge of chiar' oscuro displayed in this painting, are beyond all praise.  All is modesty, repose, and harmony; Carlo Dolce excelled in Scriptural subjects, such as the justly admired painting of Christ holding the Bread of Life, in the Marquess of Exeter's collection; as also in subjects called Ecce Homo, or Sufferings of Christ, the anguish of the Virgin Mary, Martyrdom of Saints, &c.; all of which he depicted with admirable pathos, and a sweetness of expression which was peculiarly his own; but his portraits are of rare occurrence, and this is amongst his finest and highest finished productions in this line of painting",Carlo Dolce,Painting,89
1838,Christie's,Peter denying Christ; capitally painted,Velasquez,Painting,13
1838,Christie's,Virtue resisting Vice; oval,A. Kauffman,Painting,5
1838,Christie's,"Portraits of the artist and his wife, the daughter of Hogarth",Hayman,Painting,7
1838,Christie's,"A conflagration, with numerous figures; coloured with capital effect",V. der Poel,Painting,28
1838,Christie's,"A classical landscape, with figures; circular",G. Poussin,Painting,31
1838,Christie's,"A landscape, with sheep in a storm",Josi,Painting,5
1838,Christie's,"A scene in India, with the umbrella-tree and buffaloes; capitally coloured","Daniell, R.A.",Painting,4
1838,Christie's,"Scene on the beach at Hastings, with boats and figures",Davison,Painting,4
1838,Christie's,"A Flemish town on fire on the bank of the river, moonlight",V. der Neer,Painting,45
1838,Christie's,A cow,Loutherbourg,Painting,4
1838,Christie's,"A landscape, with cattle and figures, in the manner of Wilson",T. Jones,Painting,4
1838,Christie's,"The infant Christb sleeping, in a landscape, his head resting on a skull",Murillo,Painting,27
1838,Christie's,"A windmill and cottages on the bank of a river, with boats and figures: capital effect of light",Ostade,Painting,22
1838,Christie's,"A landscape, with figures and sheep",Mola,Painting,21
1838,Christie's,A scene from the Bride of Lammermoor,Cruise,Painting,4
1838,Christie's,"An allegory of the early Christian church, a grand compo[sition] of three figures, with landscape back-ground; a capital picture",F. Bartolomeo,Painting,15
1839,Christie's,A lovely group of angel's hands,Parmegiano,Painting,42
1839,Christie's,Interior of a prison -- candlelight; a beautiful specimen,Steenwyck,Painting,21
1839,Christie's,A bacchanalian concert; a grand composition,Caravaggio,Painting,25
1839,Christie's,St. Cecilia; with powerful effect of chiar oscuro and rich colouring,C. Dolce,Painting,58
1839,Christie's,"The Chateau de Perck, in the foreground; the figures of Christ and the two disciples going to Emmaus are introduced with great force and colour",Teniers,Painting,75
1839,Christie's,"St. Peter and St. Paul, in his Caravaggio manner",Guido,Painting,23
1839,Christie's,"An Italian landscape, with a lake, and cattle watering",Denis,Painting,14
1839,Christie's,Cleopatra,Pordenone,Painting,6
1839,Christie's,A sibyl,Domenichino,Painting,21
1836,Christie's,The companion picture,Viviani,Painting,13
1836,Christie's,A dead hare; spiritedly touched,"R. Roper, 1760",Painting,6
1837,Christie's,"View of Tivoli, with figures -- the companion",Vernet,Painting,40
1837,Christie's,A scene from Much Ado about Nothing; capitally painted,"Smirke, R.A.",Painting,20
1839,Christie's,"View of a Dutch fort, with vessels and figures",Cuyp,Painting,34
1839,Christie's,"A woody landscape, with figures",Horizonti,Painting,13
1848,English,"Ecclesitcal Ruins and Water, in a highly-finished Landscape, with a clustre of handsome Trees.",De Cort,Painting,14
1848,English,"Landscape on the Banks of a River, exhibiting a well-wooded and rich Meadow Country; in front is a Ferry Boat wit Man and two Cows, and some Water Fowl; on the opposite Bank are Cottages, and a Man driving Sheep.  The Cattle and Figures are by A. Vandevelde.",Wynants,Painting,47
1848,English,"Forest Scenery -- divided by a River on the Left Bank, are Sportsmen and Dogs -- an exquisite little gem.",Velvet Breughel,Painting,16
1848,English,"The Portrait approved.  The subject is admirably told, and it is a Picture of the highest merit.",Joseph Clover,Painting,14
1805,Phillips (Harry),Sketch of an Altar Piece -- from the Orlean's collection,Parmegiano,Painting,17
1805,Phillips (Harry),"A Flemish Fete -- A brilliant and silvery gem, painted with all that expression and beautiful variety of character, for which he was so deservedly celebrated; in high preservation -- purchased from Mr. Pauney's collection at one thousand guineas",Teniers,Painting,215
1805,Phillips (Harry),A Landscape and Figures,Swaneveldt,Painting,8
1805,Phillips (Harry),"The Stoning of St. Stephen, a truly capital picture of this admired master, from Mons. Robet's collection",C. Maratti,Painting,26
1805,Phillips (Harry),"A grand Bacchanalian Scene, in which are introduced a number of Allegorical Figures, equal to the finest works of Rubens",Jordaens,Painting,37
1805,Phillips (Harry),"An Italian Landscape, a Poetical Scene, embellished with a Group of Figures, and a View of Civita Castellina in the Distance -- this truly capital picture, which was formerly in the cabinet of the Duke de Choiseuil, is painted in a clear and fresh tone of colouring, in the most fascinating stile of this great and admired artist",Claude,Painting,367
1805,Phillips (Harry),"A capital whole length Portrait of Elizabeth, Countess of Peterborough, in white Satin, holding a Rose.  She was of the noble House of Howard -- this is in Vandyck's best time, and in perfect preservation",Vandyck,Painting,105
1805,Phillips (Harry),The Vision of St. Francis -- equal to Titian,Mutiano,Painting,9
1805,Phillips (Harry),A Town on Fire,Vanderpool,Painting,3
1836,Christie's,"A Dutch Fair, in a landscape, with a square tower in the background; a singularly interesting and capital work of the master",Rembrandt,Painting,210
1836,Christie's,"Landscape, with a river; on the perforated rocky bank of which is the ruin of a temple; in the shade of a group of trees a female peasant is milking; and on the opposite bank is a round tower",Claude,Painting,98
1836,Christie's,"An Italian Sea-port; architecture, with figures drawing a net, and others angling; several large vessels are moored off and at anchor; and the glowing light of a setting sun brilliantly illumines the picture",Claude,Painting,210
1836,Christie's,"A View in a Town, with a cabaret, from the back entrance of which a female is leading her husband; other figures are proceeding towards a paling; a clear and beautiful bit",Teniers,Painting,17
1838,Christie's,"The Temple of Mercury [The following Series of Six Subjects from Orlando are painted upon Panel, and designed for Sopra Porte]",M. di Ferrara,Painting,48
1838,Christie's,"Peasants, with cattle at a ford near a castle on a rocky height; a capital picture, combining the beauties of the great masters of this school",Begeyne,Painting,13
